"ID","square_meters","bathrooms_number","lift","rooms_number","other_features","total_floors_in_building","car_parking","availability","condominium_fees","year_of_construction","conditions","zone","floor","heating_centralized","energy_efficiency_class","selling_price"
6849,55,"1","yes","2","reception | kitchen | furnished | shared garden | window frames in glass / pvcexposure south","5","no",NA,"135",1977,"excellent / refurbished","gallaratese","semi-basement","central","g",310000
6850,143,"2","yes","3","optic fiber | security door | full day concierge | centralized tv system | furnished | shared garden | window frames in double glass / pvc","6","no","available","200",1960,"good condition / liveable","san siro","semi-basement","independent","e",415000
6851,143,"2","yes","3","video entryphone | terrace | furnished | shared garden | window frames in double glass / wood","9","no",NA,"180",1990,"good condition / liveable","gratosoglio","1","independent",NA,410000
6852,45,"1","no","2","optic fiber | video entryphone | security door | balcony | centralized tv system | cellar | window frames in double glass / wood | double exposure","2","no","available","233",2006,"good condition / liveable","cascina merlata - musocco","mezzanine","central","e",168000
6853,160,"2","yes","5","electric gate | optic fiber | video entryphone | security door | balcony | half-day concierge | centralized tv system | cellar | shared garden | window frames in double glass / metal | double exposure","8","1 in garage/box","available","350",1980,"good condition / liveable","baggio","1","central","f",389000
6854,90,"2","yes","3","electric gate | optic fiber | video entryphone | security door | closet | balcony | centralized tv system | furnished | cellar | shared garden | window frames in double glass / pvcdouble exposure","7","no",NA,"300",1960,"excellent / refurbished","cenisio","3","central","f",549000
6855,135,"2","yes","4","electric gate | security door | closet | balcony | terrace | centralized tv system | cellar | window frames in double glass / wood | double exposure","5","no","available",NA,1960,"to be refurbished","giambellino","4","central",NA,790000
6856,95,"1","yes","3","electric gate | optic fiber | video entryphone | alarm system | security door | closet | balcony | furnished | double exposure","6","no",NA,"180",1967,"good condition / liveable","pasteur","ground floor","central","d",479000
6857,130,"2","yes","4","attic | optic fiber | security door | closet | balcony | centralized tv system | window frames in glass / wood | double exposure","5","2 in garage/box","available","450",1976,"good condition / liveable","ponte nuovo","1","central","f",340000
6858,87,"1","yes","3","optic fiber | video entryphone | security door | half-day concierge | centralized tv system | window frames in double glass / pvcdouble exposure","5","1 in shared parking","available","100",1930,"excellent / refurbished","farini","4","independent","e",545000
6859,40,"1","yes","1","optic fiber | video entryphone | security door | external exposure | balcony | centralized tv system | window frames in double glass / pvc","8","no","available from 31/10/2024","83",1963,"excellent / refurbished","cermenate - abbiategrasso","6","central","g",169000
6860,108,"1","yes","3","electric gate | optic fiber | video entryphone | half-day concierge | centralized tv system | cellar | window frames in glass / wood | double exposure","5","1 in shared parking","available","250",1960,"new / under construction","corso genova","3","central","g",836000
6861,170,"2","yes","5","tennis court | electric gate | optic fiber | video entryphone | security door | balcony | terrace | full day concierge | pool | centralized tv system | cellar | shared garden | window frames in glass / wood | double exposure","8","1 in garage/box","available","350",1970,"to be refurbished","tre castelli - faenza","7","central","g",575000
6862,35,"1","no","1","optic fiber | security door | internal exposure | centralized tv system | private garden | window frames in double glass / wood","1 floor","no","available","No condominium fees",1960,"good condition / liveable","baggio","semi-basement","independent","g",75000
6863,68,"1","yes","2","fireplace | security door | balcony | terrace | centralized tv system | window frames in double glass / wood | double exposure","6","no",NA,"183",1958,"excellent / refurbished","lodi - brenta","4","central","f",210000
6864,54,"1","yes","2","electric gate | video entryphone | alarm system | security door | private garden | window frames in double glass / pvc","5","1 in garage/box","available",NA,2024,"excellent / refurbished","affori","ground floor","central","a",201900
6865,90,"1","yes","3","video entryphone | security door | balcony | centralized tv system | partially furnished | cellar | window frames in double glass / metal | double exposure","6","no","available","No condominium fees",1965,"good condition / liveable","san carlo","4",NA,"b",360000
6866,250,"3+","no","5+","electric gate | video entryphone | alarm system | security door | terrace | single tv system | cellar | private garden | window frames in double glass / wood | double exposure","1 floor","2 in garage/box","available","No condominium fees",1980,"good condition / liveable","figino","ground floor","independent","g",830000
6867,80,"1","yes","3","electric gate | optic fiber | video entryphone | alarm system | security door | closet | balcony | centralized tv system | furnished | cellar | window frames in double glass / wood | double exposure","3","no","available","125",1930,"excellent / refurbished","san siro","3","independent","g",320000
6868,103,"2","yes","4","electric gate | optic fiber | video entryphone | alarm system | security door | balcony | centralized tv system | cellar | shared garden | window frames in double glass / metal | double exposure","8","no","available","No condominium fees",2025,"new / under construction","bande nere","3","central","a",724000
6869,55,"1","yes","2","security door | balcony | full day concierge | centralized tv system | furnished | window frames in triple glass / pvc","6","no","available","50",1970,"new / under construction","maggiolina","4","central","b",330000
6870,98,"2","no","4","electric gate | fireplace | optic fiber | security door | internal exposure | closet | terrace | half-day concierge | centralized tv system | furnished | cellar | window frames in double glass / wood","2","1 in shared parking","available","450",2006,"excellent / refurbished","san vittore","ground floor","central","g",690000
6871,80,"1","no","1","electric gate | video entryphone | security door | centralized tv system | only kitchen furnished | window frames in double glass / metal","1 floor","no","available","No condominium fees",NA,"new / under construction","dergano","ground floor","central","b",299000
6872,45,"1","yes","2","optic fiber | video entryphone | security door | full day concierge | centralized tv system | shared garden | window frames in double glass / pvcdouble exposure","7","no","available","100",2023,"new / under construction","vialba","ground floor","independent","f",134000
6873,53,"1","yes","2","optic fiber | security door | balcony | full day concierge | centralized tv system | shared garden | window frames in double glass / pvcdouble exposure","8","no","available","150",1960,"new / under construction","san siro","8","central","a",299000
6874,85,"1","no","3","optic fiber | security door | balcony | centralized tv system | shared garden | window frames in double glass / wood | double exposure","2","no","available","500",1957,"good condition / liveable","paolo sarpi","2","central","g",5e+05
6875,110,"2","yes","5","optic fiber | video entryphone | security door | internal exposure | closet | terrace | full day concierge | centralized tv system | partially furnished | cellar | window frames in double glass / pvc","5","1 in garage/box","available","550",2019,"excellent / refurbished","sempione","2","central","a",1350000
6876,115,"2","yes","3","electric gate | optic fiber | video entryphone | alarm system | security door | closet | balcony | full day concierge | centralized tv system | cellar | shared garden | window frames in double glass / pvcdouble exposure","5","no","available","300",1930,"excellent / refurbished","vercelli - wagner","1","central","f",920000
6877,75,"2","yes","2","security door | balcony | cellar","8","no","available","No condominium fees",NA,"new / under construction","porta nuova","2","central","g",721000
6878,62,"2","no","3","optic fiber | balcony | half-day concierge | centralized tv system | furnished | window frames in glass / wood | double exposure","4","no",NA,"135",1930,"excellent / refurbished","giambellino","3","central","f",325000
6879,47,"1","yes","1","optic fiber | security door | external exposure | half-day concierge | centralized tv system | cellar | window frames in glass / wood","7","no","available","100",1960,"to be refurbished","san siro","mezzanine","central","g",150000
6880,90,"1","yes","3","security door | balcony | cellar","6","no","available","No condominium fees",NA,"new / under construction","monte rosa - lotto","3","central","g",743000
6881,183,"3","yes","5","electric gate | optic fiber | video entryphone | security door | closet | balcony | half-day concierge | centralized tv system | cellar | shared garden | window frames in glass / wood | double exposure","8","1 in garage/box","available","490",1953,"good condition / liveable","argonne - corsica","7","central","f",1050000
6882,80,"1","yes","3","electric gate | optic fiber | video entryphone | security door | closet | balcony | half-day concierge | centralized tv system | furnished | cellar | shared garden | window frames in double glass / pvcdouble exposure","5","no","available","130",1940,"excellent / refurbished","centrale","2","independent","g",420000
6883,70,"1","yes","2","electric gate | optic fiber | security door | balcony | centralized tv system | furnished | cellar | window frames in double glass / pvc","9","no","available","167",1964,"excellent / refurbished","quartiere olmi","1","central","g",168000
6884,110,"2","yes","4","optic fiber | security door | balcony | full day concierge | centralized tv system | cellar | window frames in double glass / wood | double exposure","8","1 in garage/box","available","233",1980,"good condition / liveable","vialba","3","central","d",255000
6885,180,"2","yes","4","hydromassage | electric gate | optic fiber | video entryphone | security door | closet | balcony | terrace | full day concierge | centralized tv system | cellar | shared garden | window frames in double glass / metal | double exposure","6","1 in garage/box","available","416",1980,"good condition / liveable","tre castelli - faenza","5","central","g",848000
6886,95,"1","yes","3","electric gate | optic fiber | video entryphone | balcony | full day concierge | centralized tv system | cellar | shared garden | window frames in glass / wood | double exposure","4","no","available","250",1965,"to be refurbished","niguarda","4","central","g",265000
6887,48,"1","no","2","optic fiber | alarm system | security door | internal exposure | balcony | full day concierge | single tv system | window frames in double glass / wood","3","no","available","125",1900,"excellent / refurbished","palestro","1","independent","d",525000
6888,45,"1","yes","2","optic fiber | security door | external exposure | balcony | full day concierge | single tv system | furnished | window frames in double glass / pvc","8","no","available","220",1960,"excellent / refurbished","centrale","1","central","f",380000
6889,55,"1","yes","2","electric gate | optic fiber | video entryphone | security door | external exposure | closet | half-day concierge | tv system with satellite dish | partially furnished | cellar | private garden | window frames in double glass / pvc","8","no","available","180",1985,"excellent / refurbished","vigentino - fatima","ground floor","central","c",195000
6890,95,"1","yes","3","kitchen | balcony | window frames in double glass / pvcexposure north, south, east","4","no","available","180",1960,"good condition / liveable","cimiano","2","central",NA,395000
6891,100,"1","yes","3","electric gate | optic fiber | video entryphone | security door | internal exposure | closet | half-day concierge | centralized tv system | partially furnished | cellar | shared garden | window frames in double glass / pvc","4","no","available","100",1930,"excellent / refurbished","navigli - darsena","ground floor","central","f",485000
6892,105,"2","yes","3","electric gate | security door | external exposure | terrace | full day concierge | centralized tv system | shared garden | window frames in double glass / metal","18","no","available","370",1957,"good condition / liveable","sempione","8","central","e",790000
6893,105,"1","yes","3","electric gate | optic fiber | video entryphone | security door | closet | balcony | half-day concierge | centralized tv system | only kitchen furnished | cellar | shared garden | window frames in double glass / metal | double exposure","7","no","available","230",1961,"good condition / liveable","certosa","mezzanine","central","f",330000
6894,253,"3","no","5","electric gate | fireplace | attic | optic fiber | video entryphone | alarm system | security door | external exposure | balcony | terrace | single tv system | cellar | shared garden | window frames in double glass / wood","3","1 in garage/box","available","170",2001,"excellent / refurbished","chiesa rossa","ground floor","independent","g",650000
6895,55,"1","no","2","optic fiber | video entryphone | security door | full day concierge | centralized tv system | only kitchen furnished | window frames in double glass / wood | double exposure","4","no","available","80",1900,"excellent / refurbished","buenos aires","1","independent","g",510000
6896,153,"2","yes","5","optic fiber | balcony | full day concierge | centralized tv system | shared garden | window frames in glass / wood | double exposure","8","no","available","310",1960,"good condition / liveable","cenisio","7","central","g",780000
6897,66,"1","yes","3","electric gate | optic fiber | video entryphone | alarm system | security door | internal exposure | full day concierge | furnished","8","1 in shared parking",NA,"200",2022,"new / under construction","vigentino - fatima","3","central","c",345000
6898,45,"1","yes","2","optic fiber | security door | internal exposure | balcony | centralized tv system | window frames in double glass / pvc","6","no","available","No condominium fees",1975,"excellent / refurbished","bisceglie","3","central","g",219000
6899,80,"1","yes","3","electric gate | optic fiber | video entryphone | security door | balcony | terrace | centralized tv system | furnished | cellar | shared garden | window frames in double glass / wood | double exposure","6","1 in garage/box","available","150",1936,"excellent / refurbished","cermenate - abbiategrasso","4","central","d",379000
6900,113,"2","yes","4","video entryphone | balcony | centralized tv system | only kitchen furnished | cellar | window frames in double glass / metal | double exposure","9","no","available","250",1970,"good condition / liveable","gallaratese","2","central","e",310000
6901,80,"1","yes","3","optic fiber | video entryphone | security door | external exposure | full day concierge | centralized tv system | only kitchen furnished | cellar | window frames in glass / wood","5","no","available","350",1900,"excellent / refurbished","guastalla","1","central","e",750000
6902,104,"2","no","2","optic fiber | video entryphone | security door | closet | centralized tv system | furnished | window frames in glass / pvc","5","no",NA,"110",1950,"excellent / refurbished","morgagni","semi-basement","independent","g",435000
6903,140,"2","yes","4","electric gate | attic | optic fiber | video entryphone | security door | closet | balcony | half-day concierge | centralized tv system | cellar | shared garden | window frames in glass / wood | double exposure","8","no","available","400",1970,"to be refurbished","tripoli - soderini","2","central","g",650000
6904,66,"1","yes","2","optic fiber | video entryphone | security door | internal exposure | closet | balcony | centralized tv system | shared garden | window frames in double glass / wood","5","no","available","130",1930,"excellent / refurbished","porta romana - medaglie d'oro","3","independent","g",396000
6905,190,"3","yes","4","balcony | cellar | shared garden","3","no",NA,NA,1966,"good condition / liveable","san siro","3","central","g",1200000
6906,129,"2","yes","4","electric gate | optic fiber | video entryphone | security door | balcony | terrace | full day concierge | pool | centralized tv system | cellar | private garden | window frames in double glass / pvcdouble exposure","3","1 in garage/box","available","667",1980,"to be refurbished","gallaratese","ground floor","central","g",630000
6907,70,"1","yes","4","security door | balcony | cellar","8","no","available","No condominium fees",NA,"new / under construction","monte rosa - lotto","3","central","g",607000
6908,130,"2","yes","3","electric gate | optic fiber | video entryphone | alarm system | security door | closet | full day concierge | centralized tv system | partially furnished | cellar | window frames in double glass / wood | double exposure","6","1 in shared parking","available","4500",1940,"excellent / refurbished","moscova","1","central","e",1300000
6909,50,"1","yes","2","optic fiber | balcony | furnished | cellar | shared garden","7","no","available","150",NA,"excellent / refurbished","turro","6","central","e",273000
6910,83,"1","yes","3","electric gate | optic fiber | alarm system | security door | internal exposure | balcony | full day concierge | centralized tv system | cellar | shared garden | window frames in triple glass / wood","5","no","available","240",1960,"good condition / liveable","quartiere forlanini","1","central","e",305000
6911,115,"2","yes","3","terrace | full day concierge | cellar | shared garden","10","1 in garage/box",NA,"250",2010,"excellent / refurbished","quartiere adriano","3","central","c",425000
6912,161,"2","yes","4","electric gate | optic fiber | video entryphone | security door | full day concierge | centralized tv system | window frames in double glass / pvcdouble exposure","3","no","available","100",1990,"good condition / liveable","affori","2","central","f",409000
6913,75,"1","yes","3","optic fiber | external exposure | half-day concierge | single tv system | cellar | window frames in glass / wood","9","no","available","208",1940,"to be refurbished","centrale","3","central","g",379000
6914,168,"2","no","4","electric gate | video entryphone | alarm system | security door | external exposure | half-day concierge | centralized tv system | window frames in double glass / metal","2","no","available","330",1970,"excellent / refurbished","ascanio sforza","semi-basement","independent","e",4e+05
6915,30,"1","no","2","electric gate | optic fiber | security door | centralized tv system | shared garden | window frames in double glass / pvcdouble exposure","2","no",NA,"55",1960,"excellent / refurbished","vigentino - fatima","1","independent",NA,159000
6916,75,"1","yes","3","optic fiber | security door | external exposure | full day concierge | centralized tv system | cellar | shared garden | window frames in double glass / pvc","6","no","available","200",1940,"excellent / refurbished","cenisio","mezzanine","central",NA,375000
6917,90,"1","yes","2","electric gate | optic fiber | video entryphone | security door | external exposure | balcony | full day concierge | centralized tv system | cellar | window frames in double glass / pvc","9","no","available","No condominium fees",1960,"to be refurbished","monte rosa - lotto","3","central","e",499000
6918,80,"1","yes","2","electric gate | video entryphone | security door | balcony | terrace | full day concierge | shared garden | window frames in glass / wood | double exposure","7","no","available","183",1960,"good condition / liveable","argonne - corsica","5","central","e",420000
6919,136,"2","yes","5","electric gate | optic fiber | video entryphone | alarm system | security door | closet | balcony | half-day concierge | centralized tv system | partially furnished | cellar | shared garden | window frames in double glass / pvcdouble exposure","9","no","available","350",1970,"excellent / refurbished","città studi","2","central","e",926000
6920,90,"1",NA,"3","security door | internal exposure | balcony | full day concierge | centralized tv system | window frames in glass / wood","4","no","available",NA,1960,"to be refurbished","corvetto","ground floor","central","g",250000
6921,80,"1","yes","3","electric gate | optic fiber | video entryphone | security door | centralized tv system | only kitchen furnished | shared garden | window frames in double glass / pvcdouble exposure","5","no","available","115",2000,"good condition / liveable","san siro","ground floor","independent","e",399000
6922,122,"3","yes","4","electric gate | optic fiber | video entryphone | alarm system | security door | balcony | terrace | tv system with satellite dish | cellar | shared garden | window frames in triple glass / pvcdouble exposure","5","no","available","50",2024,"new / under construction","precotto","2","independent","a",595000
6923,450,"3+","no","5+","hydromassage | electric gate | attic | tavern | video entryphone | alarm system | security door | pool | tv system with satellite dish | partially furnished | private garden | double exposure","3","no","available","1",1500,"excellent / refurbished","san siro","1","independent","g",2350000
6924,45,"1","no","2","optic fiber | video entryphone | security door | internal exposure | balcony | full day concierge | centralized tv system | window frames in double glass / pvc","3","no","available","150",1970,"excellent / refurbished","monte rosa - lotto","1","central","g",290000
6925,55,"1","no","2","internal exposure | single tv system | partially furnished | window frames in glass / metal","1 floor","no","available","No condominium fees",1950,"good condition / liveable","bruzzano","1","independent","g",140000
6926,46,"1","yes","1","electric gate | optic fiber | video entryphone | alarm system | security door | external exposure | closet | half-day concierge | centralized tv system | cellar | window frames in double glass / pvc","4","2 in garage/box","available","200",1960,"excellent / refurbished","corso genova","ground floor","central","g",338000
6927,95,"1","yes","3","security door | balcony | cellar","6","no","available","No condominium fees",NA,"new / under construction","porta romana - medaglie d'oro","3","central","g",647000
6928,90,"1","yes","3","terrace | full day concierge | cellar","6","no",NA,"180",1960,"excellent / refurbished","tripoli - soderini","5","central","g",555000
6929,114,"2","yes","3","electric gate | tavern | optic fiber | video entryphone | security door | external exposure | full day concierge | centralized tv system | partially furnished | cellar | window frames in double glass / pvc","6","no","available",NA,1940,"excellent / refurbished","turati","mezzanine","central","b",937000
6930,55,"1","no","2","security door | internal exposure | balcony | centralized tv system","4","no","available","125",1950,"good condition / liveable","farini","1","central","f",335000
6931,43,"1","yes","1","optic fiber | security door | internal exposure | closet | balcony | full day concierge | centralized tv system | partially furnished | cellar | shared garden | window frames in glass / wood","6","no","available","200",1970,"good condition / liveable","moscova","1","central","g",4e+05
6932,35,"1","yes","1","optic fiber | security door | external exposure | closet | full day concierge | centralized tv system | furnished | shared garden | window frames in double glass / pvc","6","no","available","150",1970,"excellent / refurbished","centrale","1","central","g",280000
6933,93,"1","yes","3","kitchen | balcony | partially furnished | shared garden | exposure north, south, east, west","8","no",NA,"150",1970,"good condition / liveable","piazzale siena","2","independent","g",350000
6934,45,"1","yes","2","security door | external exposure | balcony | single tv system | window frames in double glass / pvc","8","no","available","100",1950,"excellent / refurbished","plebisciti - susa","6","central","f",345000
6935,180,"3",NA,"5","electric gate | video entryphone | security door | cellar | window frames in double glass / wood | double exposure","1 floor","no","available",NA,1400,"new / under construction","tre castelli - faenza","ground floor","central","g",990000
6936,45,"1","no","2","balcony | furnished","5","no",NA,"117",1960,"good condition / liveable","cimiano","4","central","f",149000
6937,35,"1","yes","1","electric gate | optic fiber | video entryphone | security door | external exposure | centralized tv system | furnished | cellar | window frames in glass / wood","4","no","available","150",1960,"excellent / refurbished","martini - insubria","mezzanine","central","g",210000
6938,50,"1","yes","2","video entryphone | security door | external exposure | balcony | terrace | full day concierge | centralized tv system | shared garden | window frames in double glass / wood","8","no","available",NA,1960,"excellent / refurbished","morgagni","1","central",NA,390000
6939,145,"2","yes","3","optic fiber | video entryphone | security door | balcony | half-day concierge | centralized tv system | partially furnished | cellar | window frames in double glass / metal | double exposure","6","2 in garage/box",NA,"435",1931,"to be refurbished","dezza","3","central","f",615000
6940,130,"2","yes","3","electric gate | optic fiber | security door | internal exposure | balcony | full day concierge | centralized tv system | only kitchen furnished | shared garden | window frames in double glass / wood","6","1 in garage/box","available","300",1970,"excellent / refurbished","indipendenza","3","central","d",1090000
6941,65,"1","yes","2","optic fiber | security door | external exposure | balcony | half-day concierge | single tv system | window frames in double glass / metal","7","no","available","150",1960,"to be refurbished","corvetto","7","central","e",240000
6942,157,"2","yes","5","optic fiber | video entryphone | security door | balcony | half-day concierge | centralized tv system | cellar | window frames in glass / wood | double exposure","8","no","available","375",1965,"to be refurbished","maggiolina","3","central","f",650000
6943,52,"1","no","2","optic fiber | video entryphone | security door | external exposure | closet | centralized tv system | furnished | window frames in double glass / wood","3","no","available","30",2012,"excellent / refurbished","turro","mezzanine","independent","e",250000
6944,50,"1","yes","2","optic fiber | security door | external exposure | single tv system | window frames in double glass / wood","4","no","available",NA,1835,"to be refurbished","carrobbio","3",NA,"e",430000
6945,56,"1","yes","2","electric gate | optic fiber | video entryphone | alarm system | security door | external exposure | closet | terrace | centralized tv system | cellar | window frames in double glass / pvc","5","no","available","85",2010,"good condition / liveable","muggiano","3","independent","a",195000
6946,90,"1","yes","3","electric gate | optic fiber | security door | balcony | half-day concierge | centralized tv system | cellar | window frames in double glass / metal | double exposure","8","2 in garage/box","available","300",1950,"to be refurbished","pasteur","2","central","g",410000
6947,80,"2","yes","3","optic fiber | security door | internal exposure | terrace | centralized tv system | cellar | shared garden | window frames in double glass / pvc","4","no","available",NA,1960,"new / under construction","casoretto","4","central","e",388000
6948,125,"2","yes","4","electric gate | optic fiber | video entryphone | security door | closet | balcony | full day concierge | centralized tv system | partially furnished | cellar | window frames in double glass / metal | double exposure","6","1 in shared parking","available","260",1973,"excellent / refurbished","turro","1","central","f",539000
6949,130,"2","yes","3","optic fiber | video entryphone | alarm system | security door | balcony | full day concierge | centralized tv system | partially furnished | cellar | shared garden | window frames in double glass / pvcdouble exposure","5","no","available","300",1960,"excellent / refurbished","moscova","2","central","e",1290000
6950,85,"1","yes","3","electric gate | optic fiber | video entryphone | security door | internal exposure | closet | half-day concierge | centralized tv system | furnished | shared garden | window frames in glass / wood","4","no","available","80",1900,"good condition / liveable","corso genova","3","independent","g",720000
6951,120,"2","yes","4","electric gate | optic fiber | video entryphone | security door | external exposure | balcony | centralized tv system | partially furnished | cellar | shared garden | window frames in double glass / wood","8","1 in garage/box, 1 in shared parking","available","150",1990,"good condition / liveable","gallaratese","4","independent","e",465000
6952,66,"1","yes","2","electric gate | optic fiber | video entryphone | alarm system | security door | internal exposure | centralized tv system | cellar | window frames in double glass / pvc","4","1 in shared parking","available","120",1960,"new / under construction","corso genova","3","central","g",512000
6953,100,"1","yes","3","electric gate | optic fiber | security door | balcony | full day concierge | centralized tv system | cellar | shared garden | window frames in glass / wood | double exposure","5","1 in garage/box","available","250",1976,"good condition / liveable","precotto","1","central","g",390000
6954,50,"1","no","1","optic fiber | security door | balcony | centralized tv system | window frames in glass / wood","3","no","available","90",1900,"good condition / liveable","ticinese","1","independent","f",380000
6955,80,"1","yes","3","balcony | cellar | window frames in glass / wood | double exposure","4","no","available","185",NA,"excellent / refurbished","carrobbio","2","independent","e",690000
6956,75,"1","yes","2","optic fiber | video entryphone | security door | balcony | full day concierge | centralized tv system | cellar | shared garden | window frames in glass / wood | double exposure","8","no","available","150",1965,"to be refurbished","città studi","1","central",NA,408000
6957,66,"1","yes","2","optic fiber | internal exposure | closet | single tv system | partially furnished | window frames in double glass / pvc","5","no","available","42",1930,"good condition / liveable","buenos aires","ground floor","independent","g",375000
6958,60,"1","no","1","balcony | furnished | cellar","2","no","available",NA,NA,"excellent / refurbished","rogoredo","2","independent","d",235000
6959,55,"1","no","2","optic fiber | video entryphone | security door | internal exposure | balcony | full day concierge | centralized tv system | cellar | shared garden | window frames in double glass / wood","5","no","available","150",1920,"good condition / liveable","centrale","2","central","e",325000
6960,55,"1","yes","2","electric gate | optic fiber | video entryphone | security door | internal exposure | balcony | full day concierge | centralized tv system | cellar | shared garden | window frames in double glass / metal","7","no","available","150",1970,"good condition / liveable","cermenate - abbiategrasso","2","central","g",220000
6961,55,"1","yes","2","optic fiber | security door | internal exposure | balcony | single tv system","6","no","available","175",1960,"good condition / liveable","corvetto","3","central","e",217000
6962,100,"2","yes","3","hydromassage | electric gate | optic fiber | video entryphone | alarm system | security door | terrace | centralized tv system | only kitchen furnished | cellar | window frames in double glass / wood | double exposure","4","no","available",NA,2020,"excellent / refurbished","carrobbio","3","independent","a",1450000
6963,55,"1","no","2","electric gate | optic fiber | security door | external exposure | balcony | full day concierge | centralized tv system | partially furnished | cellar | shared garden | window frames in double glass / pvc","5","no","available","100",1930,"good condition / liveable","città studi","2","central","g",279000
6964,48,"1","yes","2","optic fiber | video entryphone | security door | external exposure | full day concierge | centralized tv system | window frames in double glass / pvc","8","no","available","167",1960,"to be refurbished","solari","3","central","f",390000
6965,40,"1","no","1","electric gate | optic fiber | security door | internal exposure | centralized tv system | partially furnished | cellar | shared garden | window frames in double glass / wood","2","no","available","60",1965,"good condition / liveable","giambellino","mezzanine","independent","g",175000
6966,125,"1","yes","3","electric gate | optic fiber | security door | balcony | full day concierge | centralized tv system | cellar | window frames in double glass / metal | double exposure","8","no","available from 01/07/2024","300",1970,"good condition / liveable","vigentino - fatima","8","central","f",595000
6967,120,"1","yes","3","electric gate | optic fiber | video entryphone | security door | balcony | half-day concierge | centralized tv system | cellar | shared garden | window frames in glass / metal | double exposure","6","no","available",NA,NA,"to be refurbished","porta romana - medaglie d'oro","2","central","g",780000
6968,30,"1","no","1","optic fiber | security door | internal exposure | centralized tv system | furnished | window frames in double glass / metal","3","no","available","50",1930,"excellent / refurbished","navigli - darsena","3","independent","f",205000
6969,80,"1","no","3","optic fiber | internal exposure | half-day concierge | partially furnished | cellar | window frames in double glass / pvc","2","1 in shared parking","available","130",1950,"excellent / refurbished","pasteur","ground floor","independent","d",249000
6970,180,"3","yes","5+","optic fiber | video entryphone | security door | closet | terrace | full day concierge | single tv system | partially furnished | cellar | shared garden | window frames in double glass / pvcdouble exposure","5","1 in garage/box","available","420",1900,"excellent / refurbished","amendola - buonarroti","4","independent","g",1850000
6971,54,"1","yes","2","security door | external exposure | full day concierge | centralized tv system | cellar | window frames in triple glass / pvc","5","no","available","180",1960,"new / under construction","città studi","mezzanine","central","b",370000
6972,134,"2","yes","4","electric gate | optic fiber | video entryphone | security door | balcony | half-day concierge | centralized tv system | cellar | shared garden | window frames in double glass / pvcdouble exposure","6","no","available","340",1956,"excellent / refurbished","piazzale siena","5","central","f",595000
6973,65,"1","yes","2","electric gate | optic fiber | video entryphone | security door | internal exposure | balcony | full day concierge | centralized tv system | partially furnished | cellar | shared garden | window frames in double glass / pvc","7","no","available","125",1960,"new / under construction","cenisio","1","central",NA,365000
6974,75,"1","yes","2","attic | optic fiber | video entryphone | security door | external exposure | closet | full day concierge | cellar | window frames in double glass / wood","7","no","available","125",1900,"excellent / refurbished","porta romana - medaglie d'oro","7","independent","g",530000
6975,131,"1","yes","3","optic fiber | alarm system | security door | balcony | centralized tv system | window frames in glass / wood | double exposure","7","1 in garage/box","available","292",1967,"good condition / liveable","udine","7","central","f",472000
6976,28,"1","no","1","optic fiber | security door | external exposure | centralized tv system | partially furnished | window frames in double glass / metal","5","no","available from 30/11/2024","35",1900,"good condition / liveable","porta romana - medaglie d'oro","5","independent","g",179000
6977,105,"2","yes","3","optic fiber | video entryphone | security door | balcony | terrace | centralized tv system | cellar | shared garden | window frames in glass / pvcdouble exposure","8","1 in garage/box","available","185",2002,"good condition / liveable","tre castelli - faenza","6","central","e",460000
6978,122,"2","yes","3","security door | external exposure | closet | balcony | centralized tv system | cellar | window frames in double glass / pvc","4","1 in garage/box",NA,"400",1950,"excellent / refurbished","melchiorre gioia","2","central","g",975000
6979,60,"1","yes","2","electric gate | optic fiber | video entryphone | alarm system | closet | balcony | full day concierge | centralized tv system | partially furnished | shared garden | window frames in glass / pvcdouble exposure","3","no","available",NA,2015,"excellent / refurbished","precotto","3","central","f",317000
6980,50,"1","yes","2","optic fiber | security door | balcony | window frames in double glass / pvcdouble exposure","6","no","available","120",1950,"excellent / refurbished","rovereto","2","central","d",269000
6981,105,"1","yes","3","electric gate | optic fiber | video entryphone | alarm system | security door | internal exposure | balcony | full day concierge | centralized tv system | shared garden | window frames in glass / wood","7","1 in garage/box","available","360",1970,"good condition / liveable","sempione","3","central","f",570000
6982,120,"2","yes","3","electric gate | optic fiber | video entryphone | alarm system | security door | internal exposure | balcony | terrace | centralized tv system | cellar | window frames in double glass / pvc","6","no","available","190",2008,"excellent / refurbished","plebisciti - susa","4","independent","e",890000
6983,117,"2","yes","3","kitchen | balcony | partially furnished | window frames in double glass / wood | exposure east, west","8","no",NA,"250",1960,"good condition / liveable","argonne - corsica","4","central","a",465000
6984,85,"1","yes","3","electric gate | optic fiber | video entryphone | alarm system | security door | balcony | centralized tv system | shared garden | window frames in triple glass / pvc","6","1 in garage/box","available","150",2023,"new / under construction","vigentino - fatima","6","central","a",383000
6985,80,"1","yes","2","electric gate | optic fiber | security door | balcony | furnished | cellar | shared garden | double exposure","5","no","available","150",1950,"excellent / refurbished","città studi","2","central","f",489000
6986,110,"1","yes","4","electric gate | optic fiber | video entryphone | alarm system | security door | balcony | full day concierge | centralized tv system | furnished | cellar | window frames in double glass / pvcdouble exposure","7","1 in garage/box, 1 in shared parking","available","230",1970,"excellent / refurbished","quarto oggiaro","5","central","g",268000
